,title,type,release_year,runtime,production_countries,imdb_score,imdb_votes
1,Taxi Driver,MOVIE,1976,113,['US'],8.3,795222.0
2,Monty Python and the Holy Grail,MOVIE,1975,91,['GB'],8.2,530877.0
3,Life of Brian,MOVIE,1979,94,['GB'],8.0,392419.0
4,The Exorcist,MOVIE,1973,133,['US'],8.1,391942.0
5,Monty Python's Flying Circus,SHOW,1969,30,['GB'],8.8,72895.0
6,Dirty Harry,MOVIE,1971,102,['US'],7.7,153463.0
7,My Fair Lady,MOVIE,1964,170,['US'],7.8,94121.0
8,The Blue Lagoon,MOVIE,1980,104,['US'],5.8,69053.0
9,Bonnie and Clyde,MOVIE,1967,110,['US'],7.7,111189.0
10,The Professionals,MOVIE,1966,117,['US'],7.3,16168.0
11,The Guns of Navarone,MOVIE,1961,158,"['US', 'GB']",7.5,50150.0
12,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,100,['JP'],7.6,30277.0
13,Richard Pryor: Live in Concert,MOVIE,1979,78,['US'],8.1,5141.0
14,The Long Riders,MOVIE,1980,99,['US'],6.9,11329.0
15,White Christmas,MOVIE,1954,115,['US'],7.5,42373.0
16,Cairo Station,MOVIE,1958,77,['EG'],7.5,4385.0
17,The Queen,MOVIE,1968,68,['US'],7.2,1117.0
18,Hitler: A Career,MOVIE,1977,150,['DE'],7.5,2416.0
19,FTA,MOVIE,1972,97,['US'],6.2,411.0
20,Saladin the Victorious,MOVIE,1963,186,['EG'],7.6,2470.0
21,Singapore,MOVIE,1960,158,['IN'],6.4,82.0
22,Dark Waters,MOVIE,1956,120,['EG'],6.7,590.0
23,Alexandria… Why?,MOVIE,1979,133,['EG'],7.2,1689.0
24,Raya and Sakina,MOVIE,1953,105,['EG'],6.8,231.0
25,No Longer Kids,MOVIE,1979,235,['EG'],9.0,943.0
26,Amrapali,MOVIE,1966,120,['IN'],6.7,225.0
27,Dostana,MOVIE,1980,161,['IN'],2.1,25.0
28,The Blazing Sun,MOVIE,1954,100,['EG'],7.4,1219.0
29,Monty Python's Fliegender Zirkus,SHOW,1972,43,[],8.1,2144.0
30,The Return of the Prodigal Son,MOVIE,1976,124,"['DZ', 'EG']",7.2,768.0
31,Prince,MOVIE,1969,152,['IN'],6.9,168.0
35,Manoranjan,MOVIE,1974,162,['IN'],6.5,236.0
36,"Beirut, Oh Beirut",MOVIE,1975,110,['LB'],6.5,106.0
37,We Are All for the Fatherland,MOVIE,1979,74,"['FR', 'LB', 'CA']",6.2,43.0
38,Whispers,MOVIE,1980,93,"['FR', 'LB', 'CA']",7.8,75.0
39,Lal Patthar,MOVIE,1971,153,['IN'],6.2,137.0
